account_rewards,date
18300.01978000009,2023-10-05
-12443.482399999979,2023-10-06
-7236.361279999837,2023-10-09
-18748.750000000116,2023-10-10
-4472.469999999972,2023-10-11
4012.519999999902,2023-10-12
59808.030000000144,2023-10-13
-3959.659999999916,2023-10-16
-3224.820000000065,2023-10-17
14481.869999999995,2023-10-18
34094.59650999983,2023-10-19
122400.98890000023,2023-10-20
30174.44671999989,2023-10-23
20783.259999999776,2023-10-24
-12527.45999999973,2023-10-25
-9118.600000000326,2023-10-26
21236.720000000205,2023-10-27
6002.68188000028,2023-10-30
28280.409999999683,2023-10-31
-17310.418210000033,2023-11-01
-7583.959999999963,2023-11-02
11654.520000000251,2023-11-03
12785.939999999711,2023-11-06
8003.5,2023-11-07
38246.539999999804,2023-11-08
22383.360000000335,2023-11-09
-30627.980000000214,2023-11-10
-32565.280000000028,2023-11-13
83973.14700000011,2023-11-14
-62167.24999999977,2023-11-15
16953.846579999896,2023-11-16
30495.05472000013,2023-11-17
-62160.14138000016,2023-11-20
60283.53000000003,2023-11-21
11630.863919999683,2023-11-22
-18180.459999999963,2023-11-24
21421.366680000443,2023-11-27
1002.9056799996179,2023-11-28
-4662.819999999832,2023-11-29
35322.82999999984,2023-11-30
118317.05000000005,2023-12-01
75318.51000000001,2023-12-04
-11551.669999999925,2023-12-05
-17316.560000000056,2023-12-06
32904.830000000075,2023-12-07
-106609.68999999994,2023-12-08
8910.030000000028,2023-12-11
51087.35999999987,2023-12-12
5465.3300000000745,2023-12-13
-39496.929999999935,2023-12-14
25795.060000000056,2023-12-15
-13598.020000000251,2023-12-18
50443.15000000014,2023-12-19
7361.839999999851,2023-12-20
5077.90000000014,2023-12-21
-53823.97999999998,2023-12-22
34548.13000000012,2023-12-26
-32166.180000000168,2023-12-27
-18800.209999999963,2023-12-28
104641.45999999996,2023-12-29
-58522.90977999964,2024-01-02
44804.499499999685,2024-01-03
-160.45206000027247,2024-01-04
