date,agg,bil,btcusd,gld,spy,vb,vnq,vo,vwo
2024-01-05,100,0,0,0,0,0,0,0,100
2024-01-08,50,3,0,0,100,0,100,0,100
2024-01-09,100,100,0,85,-28,0,85,0,-26
2024-01-10,73,-52,0,-85,-18,0,-62,0,-96
2024-01-11,-99,-23,20,0,7,0,5,0,100
2024-01-12,30,-28,-20,100,-9,31,-74,100,100
2024-01-16,53,0,0,61,19,-31,-54,-100,83
2024-01-17,100,0,0,15,22,0,100,0,-55
2024-01-18,100,0,0,-23,-33,0,28,0,23
2024-01-19,-11,0,18,100,18,0,-100,0,-10
2024-01-22,37,100,-18,-2,100,78,-28,0,-72
2024-01-23,28,-43,0,2,3,100,38,0,100
2024-01-24,-74,-57,0,11,29,-100,-38,0,88
2024-01-25,100,100,0,-100,62,100,3,0,-83
2024-01-26,40,-62,0,-34,100,-100,6,0,100
2024-01-29,46,-38,0,-5,100,-57,55,0,6
2024-01-30,-94,28,0,-22,100,-21,-10,0,-2
2024-01-31,27,30,0,-50,100,0,-38,0,100
2024-02-01,100,100,0,100,100,0,-16,0,10
2024-02-02,-93,-27,0,-79,35,0,18,0,100
2024-02-05,76,-100,0,-74,47,0,71,0,-19
2024-02-06,-9,35,0,0,100,0,49,0,99
2024-02-07,76,-66,7,19,0,0,-100,0,-36
2024-02-08,100,0,-7,100,71,0,-38,0,100
2024-02-09,28,0,0,-8,100,0,0,0,98
2024-02-12,100,0,0,100,-84,8,0,0,-28
2024-02-13,-100,35,4,100,0,-8,0,0,2
2024-02-14,18,45,-4,100,95,69,0,100,64
2024-02-15,-3,58,0,81,99,-69,0,-100,-38
2024-02-16,47,57,0,47,75,0,0,0,-61
2024-02-20,-3,-39,0,1,35,0,0,0,-58
2024-02-21,0,0,0,0,0,0,0,0,4
2024-02-22,1,0,0,0,-15,0,0,14,100
2024-02-23,-100,0,0,91,0,0,0,-14,-100
2024-02-26,41,60,0,100,-68,0,0,0,-89
2024-02-27,0,0,0,61,0,0,0,0,-42
2024-02-28,-100,1,0,51,0,0,0,0,0
2024-02-29,-9,2,0,87,-30,0,0,0,-13
2024-03-01,0,0,0,0,0,0,0,0,0
2024-03-04,20,100,0,100,-52,0,0,0,-100
2024-03-05,-24,95,0,0,-63,67,0,11,100
2024-03-06,-100,-55,0,100,-100,1,0,-11,-3
2024-03-07,-34,-35,0,100,100,-68,0,0,-8
2024-03-08,-35,1,0,31,0,0,0,0,1
2024-03-11,0,-100,0,0,18,0,0,0,-3
2024-03-12,-100,0,0,52,0,0,0,0,-14
2024-03-13,0,0,0,0,0,0,0,0,1
2024-03-14,-100,100,0,2,0,0,0,0,3
2024-03-15,-31,0,0,46,-4,0,0,0,-100
2024-03-18,-100,-87,0,-12,41,0,0,0,-28
2024-03-19,-100,1,0,0,-24,100,0,0,1
2024-03-20,-13,-100,0,0,28,0,0,0,-100
2024-03-21,100,2,0,-36,22,-82,0,1,100
2024-03-22,0,0,0,21,0,-18,0,-1,1
2024-03-25,-37,0,0,2,13,0,0,0,-87
2024-03-26,-36,0,0,38,0,0,0,0,-100
2024-03-27,-8,0,0,99,-29,0,0,0,-100
2024-03-28,57,3,0,66,-100,0,0,82,28
2024-04-01,-14,83,0,9,14,0,0,-82,97
2024-04-02,2,0,0,68,-2,0,0,0,-36
2024-04-03,-100,2,0,-100,59,0,0,0,1
2024-04-04,-28,100,0,100,-100,74,0,0,-65
2024-04-05,-8,1,0,69,0,0,0,0,-100
