account_rewards,date
-32.498970000073314,2024-10-07
86.6410700000124,2024-10-08
-279.22317999985535,2024-10-09
1731.4478699997999,2024-10-10
1467.6119300000137,2024-10-11
-2463.4558500000276,2024-10-14
1986.4075600000797,2024-10-15
-318.16182000003755,2024-10-16
1973.6555299998727,2024-10-17
-1662.9674799998756,2024-10-18
-534.4506500001298,2024-10-21
-5190.529389999923,2024-10-22
1077.9507799999556,2024-10-23
-331.7962299998617,2024-10-24
1883.1649999998044,2024-10-25
791.6700100000016,2024-10-28
-2439.1846300000325,2024-10-29
-13991.368989999872,2024-10-30
2730.0334599998314,2024-10-31
-1369.7161300000735,2024-11-01
9712.602210000157,2024-11-04
18514.36069999996,2024-11-05
-871.6941800002242,2024-11-06
303.63108000007924,2024-11-07
-155.59063000010792,2024-11-08
-1584.1204399999697,2024-11-11
-847.0934900001157,2024-11-12
-1966.938649999909,2024-11-13
-3932.9973099997733,2024-11-14
3190.491669999901,2024-11-15
1844.9954200000502,2024-11-18
635.3414699998684,2024-11-19
2278.559819999966,2024-11-20
1936.3300799998688,2024-11-21
-505.0240299999714,2024-11-22
1639.500510000158,2024-11-25
-902.8251200001687,2024-11-26
3724.2801800000016,2024-11-27
475.4849099999992,2024-11-29
239.21849999995902,2024-12-02
3781.9988600000506,2024-12-03
-1661.5803499999456,2024-12-04
1209.398009999888,2024-12-05
-1863.1814799997956,2024-12-06
-3810.006240000017,2024-12-09
5748.196479999926,2024-12-10
-5118.579119999893,2024-12-11
-1591.9530599998543,2024-12-12
2612.078529999708,2024-12-13
-4685.703210000065,2024-12-16
-29770.449729999877,2024-12-17
-246.72420999989845,2024-12-18
6754.402050000033,2024-12-19
4015.088560000062,2024-12-20
8935.550559999887,2024-12-23
440.7347900001332,2024-12-24
-9252.304770000046,2024-12-26
-9740.299690000014,2024-12-27
-2442.0542100000894,2024-12-30
-2124.642899999977,2024-12-31
9733.579620000208,2025-01-02
3177.7236499998253,2025-01-03
-8655.649549999856,2025-01-06
