date,agg,bil,gld,spy,vb,vnq,vo,vwo
2024-10-07,77,54,14,0,91,48,0,16
2024-10-08,99,-48,-14,53,-75,85,0,81
2024-10-09,12,-6,100,100,-1,97,0,69
2024-10-10,-100,100,100,100,28,-52,0,69
2024-10-11,63,-100,-100,79,-3,-74,0,100
2024-10-14,-20,0,-100,100,52,-87,0,100
2024-10-15,-62,0,16,100,90,41,0,100
2024-10-16,-1,0,34,99,24,85,82,3
2024-10-17,24,0,5,43,-73,-100,-82,19
2024-10-18,-60,56,-55,49,100,-43,0,-29
2024-10-21,-32,23,0,85,-91,0,0,-87
2024-10-22,23,-67,0,100,-100,0,33,71
2024-10-23,63,-12,6,-14,-42,0,-26,100
2024-10-24,-1,0,-6,100,0,0,18,5
2024-10-25,23,0,0,23,0,0,-25,94
2024-10-28,-86,100,0,43,0,0,33,38
2024-10-29,100,-100,0,100,41,0,-31,100
2024-10-30,100,0,0,25,68,0,-2,100
2024-10-31,100,0,0,44,0,0,100,-34
2024-11-01,-41,0,29,100,81,0,-30,-88
2024-11-04,-13,70,-23,-42,-97,0,-70,-100
2024-11-05,-32,31,49,-2,17,0,0,100
2024-11-06,-236,-101,-55,-1285,-110,0,0,-827
2024-11-07,100,0,0,100,100,0,0,54
2024-11-08,100,0,65,77,-21,0,0,-54
2024-11-11,-1,0,88,59,100,0,0,100
2024-11-12,100,100,40,-58,40,0,77,100
2024-11-13,-54,-5,100,99,-44,0,-77,100
2024-11-14,100,-95,39,100,100,0,2,100
2024-11-15,-35,0,45,83,-5,0,-2,-2
2024-11-18,91,0,-87,0,-100,0,0,53
2024-11-19,-65,0,-12,-31,25,22,2,100
2024-11-20,-46,0,-19,66,-100,-22,-2,100
2024-11-21,81,39,49,49,-95,0,0,-17
2024-11-22,-51,83,12,100,56,90,10,100
2024-11-25,18,-65,0,-26,56,92,100,100
2024-11-26,100,70,-4,68,100,-100,-34,100
2024-11-27,-19,18,-100,97,-100,-82,-44,100
2024-11-29,28,-100,-77,70,100,0,-32,-20
2024-12-02,-56,-28,69,100,-29,0,79,100
2024-12-03,-100,-17,-100,-85,-11,0,100,-28
2024-12-04,100,0,100,20,-44,13,87,100
2024-12-05,-43,0,-100,-35,-59,-13,-5,87
2024-12-06,100,100,100,-72,100,100,39,100
2024-12-09,-100,-46,0,100,-44,11,53,100
2024-12-10,-100,-39,18,100,97,-100,-20,3
2024-12-11,51,16,-89,-8,7,-5,100,84
2024-12-12,-88,26,63,100,51,-6,-93,-100
2024-12-13,-71,100,-47,12,100,0,-100,100
2024-12-16,44,9,-81,100,-23,0,-100,54
2024-12-17,-60,-100,92,53,0,0,-32,100
2024-12-18,55,-66,100,0,-60,0,0,0
2024-12-19,-74,2,13,-80,-33,32,100,-45
2024-12-20,38,100,-74,100,-100,-32,0,100
2024-12-23,-19,79,100,-78,-61,0,43,-100
2024-12-24,100,35,32,-74,-4,0,100,100
2024-12-26,-11,0,-100,31,2,0,73,100
2024-12-27,-100,-100,-100,-44,-100,9,100,31
2024-12-30,-96,-23,-100,-30,58,-9,44,11
2024-12-31,36,100,-35,29,-59,71,-11,-100
2025-01-02,100,-100,40,-58,0,48,-21,100
2025-01-03,-49,-70,-40,-25,39,100,-100,-100
2025-01-06,100,-23,0,24,100,7,-100,100
