date,close,high,low,open,volume,tic,day
2007-05-30,99.38,99.47,99.27,99.45,977600.0,agg,2
2007-05-30,91.6,91.6,91.5,91.57998,1550.0,bil,2
2007-05-30,64.72,64.86,64.60001,64.86,2744800.0,gld,2
2007-05-30,153.48,153.53999,151.34,151.46001,131273376.0,spy,2
2007-05-30,75.28999,75.32651,74.23,74.36,35300.0,vb,2
2007-05-30,79.27,79.27,76.85001,76.85001,574700.0,vnq,2
2007-05-30,81.73,81.73,80.25999,80.25999,65600.0,vo,2
2007-05-30,43.5,43.504995,42.29,42.445,576780.0,vwo,2
2007-05-31,99.16,99.35001,99.12,99.25,506000.0,agg,3
2007-05-31,91.6,91.6,91.57998,91.57998,11200.0,bil,3
2007-05-31,65.53999,65.58,65.07001,65.16,7531602.0,gld,3
2007-05-31,153.32001,153.89,153.12,153.66,115777808.0,spy,3
2007-05-31,75.63,75.85001,75.36,75.53999,84100.0,vb,3
2007-05-31,78.95,79.83,78.42999,79.57001,198100.0,vnq,3
2007-05-31,82.00999,82.21001,81.73,82.05,115000.0,vo,3
2007-05-31,43.660005,43.80995,43.5,43.730005,433522.0,vwo,3
2007-06-01,98.63,98.77,98.53,98.72,942500.0,agg,4
2007-06-01,91.62,91.62,91.62,91.62,1450.0,bil,4
2007-06-01,66.44,66.53999,65.7,65.7,5634898.0,gld,4
2007-06-01,154.08,154.39999,153.50999,153.88,107774432.0,spy,4
2007-06-01,76.21001,76.44,75.96001,76.05,68400.0,vb,4
2007-06-01,79.06,79.4899,78.5,79.24001,128100.0,vnq,4
2007-06-01,82.41,82.58,82.239,82.35001,35800.0,vo,4
2007-06-01,44.644995,44.644995,44.18,44.26,653700.0,vwo,4
2007-06-04,98.75,98.77,98.61,98.71001,299000.0,agg,0
2007-06-04,91.64002,91.64002,91.64002,91.64002,1050.0,bil,0
2007-06-04,66.53999,66.75999,66.3,66.61,2626500.0,gld,0
2007-06-04,154.10001,154.39,153.48,153.53999,78047568.0,spy,0
2007-06-04,76.35001,76.38,75.9225,76.05,38000.0,vb,0
2007-06-04,79.38,79.75,78.60001,78.8,222700.0,vnq,0
2007-06-04,82.64999,82.72,82.25,82.3,48100.0,vo,0
2007-06-04,44.51,44.620005,44.225,44.620005,620200.0,vwo,0
2007-06-05,98.47,98.7,98.37,98.67,244760.0,agg,1
2007-06-05,91.64002,91.68,91.64002,91.66,3750.0,bil,1
2007-06-05,66.37,66.7,66.23,66.7,3728100.0,gld,1
2007-06-05,153.49001,153.89999,152.86,153.74001,127943056.0,spy,1
2007-06-05,75.88,76.21001,75.58009,76.11,64300.0,vb,1
2007-06-05,78.12,79.11,78.0,79.10001,126300.0,vnq,1
2007-06-05,82.32001,82.58,81.95,82.47,37200.0,vo,1
2007-06-05,44.265,44.415,43.92,44.375,353850.0,vwo,1
2007-06-06,98.50999,98.53999,98.3,98.52,1001268.0,agg,2
2007-06-06,91.68,91.68,91.64002,91.64002,9750.0,bil,2
2007-06-06,66.41,66.55,65.88,66.11,3596600.0,gld,2
2007-06-06,151.84,152.95,151.75,152.91,164138128.0,spy,2
