datetime,symbol,open,high,low,close,volume
2016-05-23 08:00:00,COINBASE:ETHUSD,13.91,13.91,10.25,12.34,53831.0
2016-05-30 08:00:00,COINBASE:ETHUSD,12.35,14.45,12.0,14.04,49575.0
2016-06-06 08:00:00,COINBASE:ETHUSD,14.02,15.91,13.76,15.58,84252.0
2016-06-13 08:00:00,COINBASE:ETHUSD,15.91,22.0,10.0,12.35,340071.0
2016-06-20 08:00:00,COINBASE:ETHUSD,12.35,15.89,10.8,14.02,219283.0
2016-06-27 08:00:00,COINBASE:ETHUSD,14.0,14.59,11.52,12.02,133884.0
2016-07-04 08:00:00,COINBASE:ETHUSD,11.94,11.99,9.31,11.02,122035.0
2016-07-11 08:00:00,COINBASE:ETHUSD,11.0,12.75,10.11,11.33,100539.0
2016-07-18 08:00:00,COINBASE:ETHUSD,11.27,15.39,11.0,12.78,589591.0
2016-07-25 08:00:00,COINBASE:ETHUSD,12.71,14.01,11.61,11.99,593186.0
2016-08-01 08:00:00,COINBASE:ETHUSD,11.98,12.12,6.68,10.99,713811.0
2016-08-08 08:00:00,COINBASE:ETHUSD,10.99,12.91,10.94,11.28,401666.0
2016-08-15 08:00:00,COINBASE:ETHUSD,11.28,11.52,10.65,11.21,242261.0
2016-08-22 08:00:00,COINBASE:ETHUSD,11.17,11.47,10.85,11.01,188275.0
2016-08-29 08:00:00,COINBASE:ETHUSD,11.01,12.5,10.8,11.77,279688.0
2016-09-05 08:00:00,COINBASE:ETHUSD,11.77,12.21,11.31,11.65,173214.0
2016-09-12 08:00:00,COINBASE:ETHUSD,11.64,12.99,11.64,12.64,243440.0
2016-09-19 08:00:00,COINBASE:ETHUSD,12.64,15.25,12.33,13.12,380831.0
2016-09-26 08:00:00,COINBASE:ETHUSD,13.14,13.58,12.83,13.28,218094.0
2016-10-03 08:00:00,COINBASE:ETHUSD,13.29,13.58,12.02,12.1,286944.0
2016-10-10 08:00:00,COINBASE:ETHUSD,12.1,12.24,11.62,11.95,230228.0
2016-10-17 08:00:00,COINBASE:ETHUSD,11.95,12.94,11.83,11.94,210400.0
2016-10-24 08:00:00,COINBASE:ETHUSD,11.93,11.99,9.52,11.19,363361.0
2016-10-31 08:00:00,COINBASE:ETHUSD,11.2,11.44,10.35,11.01,274366.0
2016-11-07 08:00:00,COINBASE:ETHUSD,11.01,11.06,9.65,10.14,286697.0
2016-11-14 08:00:00,COINBASE:ETHUSD,10.13,10.42,9.45,9.6,256508.0
2016-11-21 08:00:00,COINBASE:ETHUSD,9.58,10.21,8.66,8.98,257483.0
2016-11-28 08:00:00,COINBASE:ETHUSD,8.97,9.0,7.27,7.37,452048.0
2016-12-05 08:00:00,COINBASE:ETHUSD,7.39,8.95,5.81,8.23,550672.0
2016-12-12 08:00:00,COINBASE:ETHUSD,8.23,8.62,7.51,7.92,282767.0
2016-12-19 08:00:00,COINBASE:ETHUSD,7.92,7.97,7.01,7.19,354826.0
2016-12-26 08:00:00,COINBASE:ETHUSD,7.18,8.6,7.02,8.18,492137.0
2017-01-02 08:00:00,COINBASE:ETHUSD,8.2,11.8,8.05,10.5,1100696.0
2017-01-09 08:00:00,COINBASE:ETHUSD,10.5,10.94,9.12,9.9,499774.0
2017-01-16 08:00:00,COINBASE:ETHUSD,9.91,11.07,9.56,10.77,386796.0
2017-01-23 08:00:00,COINBASE:ETHUSD,10.77,10.92,10.42,10.49,257735.0
2017-01-30 08:00:00,COINBASE:ETHUSD,10.5,11.45,10.37,11.26,333757.0
2017-02-06 08:00:00,COINBASE:ETHUSD,11.28,11.65,10.61,11.5,432685.0
2017-02-13 08:00:00,COINBASE:ETHUSD,11.5,14.7,11.21,12.9,658471.0
2017-02-20 08:00:00,COINBASE:ETHUSD,12.9,14.84,12.3,14.74,684462.0
2017-02-27 08:00:00,COINBASE:ETHUSD,14.74,21.49,14.37,19.4,1863151.0
2017-03-06 08:00:00,COINBASE:ETHUSD,19.39,24.25,16.2,23.39,1555546.0
2017-03-13 08:00:00,COINBASE:ETHUSD,23.38,57.67,23.38,43.21,3720266.0
2017-03-20 08:00:00,COINBASE:ETHUSD,43.21,53.44,38.26,50.68,1597442.0
2017-03-27 08:00:00,COINBASE:ETHUSD,50.74,53.97,46.98,48.74,1170185.0
2017-04-03 08:00:00,COINBASE:ETHUSD,48.74,48.97,41.1,43.92,1102991.0
2017-04-10 08:00:00,COINBASE:ETHUSD,43.93,74.98,42.72,48.13,588168.0
2017-04-17 08:00:00,COINBASE:ETHUSD,48.19,50.32,47.25,48.96,522822.0
2017-04-24 08:00:00,COINBASE:ETHUSD,48.95,82.9,48.94,80.87,1616245.0
2017-05-01 08:00:00,COINBASE:ETHUSD,80.72,98.98,72.24,93.82,1684885.0
2017-05-08 08:00:00,COINBASE:ETHUSD,93.83,94.74,75.89,89.39,1008346.0
2017-05-15 08:00:00,COINBASE:ETHUSD,89.42,148.97,82.5,148.78,1588938.0
2017-05-22 08:00:00,COINBASE:ETHUSD,148.86,217.85,115.67,175.48,2851967.0
2017-05-29 08:00:00,COINBASE:ETHUSD,175.48,249.04,167.0,245.5,1853779.0
2017-06-05 08:00:00,COINBASE:ETHUSD,245.48,358.46,241.2,343.01,1691595.0
2017-06-12 08:00:00,COINBASE:ETHUSD,343.29,420.0,253.0,351.85,2460293.0
2017-06-19 08:00:00,COINBASE:ETHUSD,351.84,365.79,13.0,278.49,1249599.0
2017-06-26 08:00:00,COINBASE:ETHUSD,278.49,323.69,206.5,285.0,2216296.0
2017-07-03 08:00:00,COINBASE:ETHUSD,285.0,285.0,231.25,238.81,826848.0
2017-07-10 08:00:00,COINBASE:ETHUSD,238.4,240.33,130.26,155.68,2651907.0
2017-07-17 08:00:00,COINBASE:ETHUSD,155.69,249.4,153.25,228.31,3474296.0
2017-07-24 08:00:00,COINBASE:ETHUSD,228.27,229.99,178.03,196.95,1328893.0
2017-07-31 08:00:00,COINBASE:ETHUSD,196.95,273.0,190.78,263.96,1474401.0
2017-08-07 08:00:00,COINBASE:ETHUSD,263.97,319.7,257.1,296.66,1558832.0
2017-08-14 08:00:00,COINBASE:ETHUSD,296.67,309.41,267.0,297.79,828560.0
2017-08-21 08:00:00,COINBASE:ETHUSD,297.79,348.2,292.0,348.2,968295.0
2017-08-28 08:00:00,COINBASE:ETHUSD,348.2,396.88,333.0,353.06,1158787.0
2017-09-04 08:00:00,COINBASE:ETHUSD,353.06,353.15,285.0,300.33,1592949.0
2017-09-11 08:00:00,COINBASE:ETHUSD,300.34,316.19,202.25,259.66,2159003.0
2017-09-18 08:00:00,COINBASE:ETHUSD,259.66,303.78,252.55,283.21,1086273.0
2017-09-25 08:00:00,COINBASE:ETHUSD,283.21,312.75,278.0,303.25,641119.0
2017-10-02 08:00:00,COINBASE:ETHUSD,303.25,314.62,286.44,309.2,416663.0
2017-10-09 08:00:00,COINBASE:ETHUSD,309.2,347.0,285.88,336.89,860299.0
2017-10-16 08:00:00,COINBASE:ETHUSD,336.89,350.0,287.4,295.14,782890.0
2017-10-23 08:00:00,COINBASE:ETHUSD,295.14,311.7,275.46,303.38,559676.0
2017-10-30 08:00:00,COINBASE:ETHUSD,303.39,309.94,278.88,296.57,663602.0
2017-11-06 08:00:00,COINBASE:ETHUSD,296.58,329.47,287.0,307.1,1093431.0
2017-11-13 08:00:00,COINBASE:ETHUSD,307.11,374.7,306.5,354.59,1029251.0
2017-11-20 08:00:00,COINBASE:ETHUSD,354.24,488.0,350.5,473.99,1574598.0
2017-11-27 08:00:00,COINBASE:ETHUSD,473.99,518.13,401.5,464.76,1792470.0
2017-12-04 08:00:00,COINBASE:ETHUSD,465.0,535.1,415.01,447.51,2134671.0
2017-12-11 08:00:00,COINBASE:ETHUSD,447.51,784.77,445.23,732.18,3070910.0
2017-12-18 08:00:00,COINBASE:ETHUSD,732.17,875.0,460.0,697.04,1493095.0
2017-12-25 08:00:00,COINBASE:ETHUSD,697.05,771.0,676.03,741.27,372801.0
2018-01-01 08:00:00,COINBASE:ETHUSD,741.24,1118.3,727.14,1118.3,537824.0
2018-01-08 08:00:00,COINBASE:ETHUSD,1118.3,1419.96,950.0,1365.46,555746.0
2018-01-15 08:00:00,COINBASE:ETHUSD,1365.46,1380.97,757.0,1047.13,597167.0
2018-01-22 08:00:00,COINBASE:ETHUSD,1047.13,1224.0,905.0,1215.01,371278.0
2018-01-29 08:00:00,COINBASE:ETHUSD,1215.01,1221.67,726.43,826.0,491305.0
2018-02-05 08:00:00,COINBASE:ETHUSD,826.01,908.76,555.66,811.35,584368.0
2018-02-12 08:00:00,COINBASE:ETHUSD,811.38,982.99,810.99,912.41,234367.0
2018-02-19 08:00:00,COINBASE:ETHUSD,913.4,958.0,786.59,841.96,203621.0
2018-02-26 08:00:00,COINBASE:ETHUSD,842.79,894.0,835.21,861.74,220882.0
2018-03-05 08:00:00,COINBASE:ETHUSD,861.74,866.0,641.6,719.8,617410.0
2018-03-12 08:00:00,COINBASE:ETHUSD,719.79,739.0,450.0,538.0,1050137.0
2018-03-19 08:00:00,COINBASE:ETHUSD,538.01,589.75,507.84,522.55,734848.0
2018-03-26 08:00:00,COINBASE:ETHUSD,522.55,525.0,360.0,378.18,1235201.0
2018-04-02 08:00:00,COINBASE:ETHUSD,378.69,421.59,363.33,399.9,689909.94458
2018-04-09 08:00:00,COINBASE:ETHUSD,399.9,534.57,388.0,533.74,937187.41033
2018-04-16 08:00:00,COINBASE:ETHUSD,534.0,643.47,498.29,620.07,830246.28885
2018-04-23 08:00:00,COINBASE:ETHUSD,620.08,711.0,578.75,687.51,1031863.64513
2018-04-30 08:00:00,COINBASE:ETHUSD,688.0,828.97,627.2,784.33,878124.07901
2018-05-07 08:00:00,COINBASE:ETHUSD,784.88,789.98,637.65,729.29,897907.88305
2018-05-14 08:00:00,COINBASE:ETHUSD,729.29,746.06,656.5,714.0,612823.64891
2018-05-21 08:00:00,COINBASE:ETHUSD,714.0,717.0,545.36,570.75,698753.50072
2018-05-28 08:00:00,COINBASE:ETHUSD,570.75,627.83,507.0,618.63,661565.71686
2018-06-04 08:00:00,COINBASE:ETHUSD,618.63,626.55,505.0,525.25,516008.51916
2018-06-11 08:00:00,COINBASE:ETHUSD,525.25,538.99,450.11,496.5,786229.6831
2018-06-18 08:00:00,COINBASE:ETHUSD,496.5,547.4,421.1,454.79,609205.08418
2018-06-25 08:00:00,COINBASE:ETHUSD,454.79,473.27,404.22,451.43,474937.3815
