symbol,open,high,low,close,volume
COINBASE:SOLUSD,126.48,126.81,126.31,126.69,4458.02642547
COINBASE:SOLUSD,126.67,126.78,126.49,126.53,1448.11522675
COINBASE:SOLUSD,126.53,126.58,126.28,126.49,1345.31966453
COINBASE:SOLUSD,126.47,126.83,126.37,126.8,1829.75604628
COINBASE:SOLUSD,126.79,127.46,126.76,127.46,4662.94515412
COINBASE:SOLUSD,127.46,127.51,126.88,127.22,2360.59380011
COINBASE:SOLUSD,127.17,127.24,126.97,127.08,884.97662442
COINBASE:SOLUSD,127.07,127.37,127.06,127.1,2685.14457617
COINBASE:SOLUSD,127.12,127.66,127.08,127.38,1072.32016631
COINBASE:SOLUSD,127.35,127.39,127.0,127.0,1450.10585898
COINBASE:SOLUSD,127.0,127.06,126.74,126.79,1314.69894641
COINBASE:SOLUSD,126.77,126.88,126.59,126.64,2181.7772751
COINBASE:SOLUSD,126.62,126.78,126.47,126.6,1883.91168428
COINBASE:SOLUSD,126.56,126.71,126.53,126.63,1062.92196834
COINBASE:SOLUSD,126.63,126.73,126.55,126.65,694.54533083
COINBASE:SOLUSD,126.64,126.65,126.11,126.11,773.53301698
COINBASE:SOLUSD,126.1,126.52,126.08,126.27,658.57692466
COINBASE:SOLUSD,126.27,126.54,126.22,126.23,434.28045047
COINBASE:SOLUSD,126.26,126.4,126.19,126.31,620.44450037
COINBASE:SOLUSD,126.32,126.37,125.94,126.07,840.27419398
COINBASE:SOLUSD,126.06,126.15,125.94,126.08,1329.52233298
COINBASE:SOLUSD,126.08,126.08,125.92,125.99,1481.1027096
COINBASE:SOLUSD,125.98,126.08,125.73,126.08,1004.63437803
COINBASE:SOLUSD,126.05,126.31,126.0,126.28,1520.92956174
COINBASE:SOLUSD,126.29,126.51,126.27,126.48,720.51273674
COINBASE:SOLUSD,126.49,126.53,126.24,126.24,351.66303643
COINBASE:SOLUSD,126.22,126.22,125.98,126.17,523.86402147
COINBASE:SOLUSD,126.18,126.29,126.06,126.09,1001.57191182
COINBASE:SOLUSD,126.08,126.11,125.88,125.9,634.20585544
COINBASE:SOLUSD,125.9,126.04,125.77,125.77,1505.09767345
COINBASE:SOLUSD,125.76,125.92,125.67,125.74,758.660148
COINBASE:SOLUSD,125.75,125.89,125.27,125.49,2798.96019438
COINBASE:SOLUSD,125.5,125.76,125.29,125.29,1724.0628514
COINBASE:SOLUSD,125.34,125.48,124.38,124.81,10984.59087218
COINBASE:SOLUSD,124.82,125.05,124.12,124.38,3824.36171788
COINBASE:SOLUSD,124.37,124.63,124.24,124.3,2733.94712496
COINBASE:SOLUSD,124.31,124.56,124.15,124.44,3216.64497456
COINBASE:SOLUSD,124.44,124.57,124.33,124.43,1002.80912332
COINBASE:SOLUSD,124.45,124.74,124.34,124.69,753.86288607
COINBASE:SOLUSD,124.68,125.04,124.58,124.96,2824.79483049
COINBASE:SOLUSD,124.98,125.32,124.97,125.27,1466.3600754
COINBASE:SOLUSD,125.24,125.34,125.09,125.31,1341.0768081
COINBASE:SOLUSD,125.32,126.51,125.3,126.45,2773.28689496
COINBASE:SOLUSD,126.43,126.95,126.25,126.81,961.29370089
COINBASE:SOLUSD,126.81,127.53,126.67,126.85,1566.81732292
COINBASE:SOLUSD,126.84,127.54,126.69,127.38,1644.46595056
COINBASE:SOLUSD,127.38,127.57,127.13,127.16,2196.81605303
COINBASE:SOLUSD,127.16,127.27,126.84,127.2,1197.43238322
COINBASE:SOLUSD,127.21,127.32,127.0,127.12,1386.80781947
COINBASE:SOLUSD,127.09,127.51,127.01,127.4,4266.63961497
COINBASE:SOLUSD,127.4,127.9,127.31,127.76,1626.44531551
COINBASE:SOLUSD,127.76,127.76,127.18,127.18,3134.86850733
COINBASE:SOLUSD,127.16,127.68,127.15,127.51,1391.57323719
COINBASE:SOLUSD,127.5,127.75,127.22,127.68,1871.88195489
COINBASE:SOLUSD,127.68,127.92,127.4,127.42,3191.57203695
COINBASE:SOLUSD,127.4,127.62,127.25,127.3,1597.591452
COINBASE:SOLUSD,127.28,127.49,127.11,127.16,1333.01010228
COINBASE:SOLUSD,127.18,127.34,127.1,127.26,623.51476354
COINBASE:SOLUSD,127.27,127.51,127.14,127.4,7961.76414249
COINBASE:SOLUSD,127.42,127.49,127.23,127.35,749.70384993
COINBASE:SOLUSD,127.37,127.39,127.12,127.14,1675.40362434
COINBASE:SOLUSD,127.15,127.79,126.98,127.49,1639.13321177
COINBASE:SOLUSD,127.52,128.14,127.52,127.68,2960.14353765
COINBASE:SOLUSD,127.69,127.98,127.47,127.9,2241.42897816
COINBASE:SOLUSD,127.9,128.4,127.8,128.35,6336.88543359
COINBASE:SOLUSD,128.31,128.4,127.9,127.91,1353.533444
COINBASE:SOLUSD,127.92,128.1,127.84,127.93,1726.20779396
COINBASE:SOLUSD,127.94,128.07,127.88,127.9,791.01686107
COINBASE:SOLUSD,127.89,128.29,127.89,128.0,1588.74676858
COINBASE:SOLUSD,127.99,128.08,127.9,127.95,1099.80933888
COINBASE:SOLUSD,127.92,127.92,127.52,127.59,1077.2536043
COINBASE:SOLUSD,127.55,127.57,127.38,127.45,1546.9321157
COINBASE:SOLUSD,127.45,127.47,127.18,127.2,1114.64442119
COINBASE:SOLUSD,127.21,127.3,127.08,127.24,544.71160995
COINBASE:SOLUSD,127.23,127.49,127.2,127.39,632.46556537
COINBASE:SOLUSD,127.39,127.49,127.01,127.09,392.95380069
COINBASE:SOLUSD,127.09,127.19,126.78,126.78,781.64956438
COINBASE:SOLUSD,126.76,126.95,126.56,126.86,964.57553483
COINBASE:SOLUSD,126.86,127.15,126.85,126.99,244.47870301
COINBASE:SOLUSD,127.01,127.18,126.91,126.96,397.97360547
COINBASE:SOLUSD,126.96,127.18,126.9,126.9,303.87416641
COINBASE:SOLUSD,126.89,126.9,126.72,126.87,1136.67630601
COINBASE:SOLUSD,126.87,127.04,126.69,126.69,465.99193769
COINBASE:SOLUSD,126.68,127.05,126.63,127.05,409.14220424
COINBASE:SOLUSD,127.06,127.27,127.02,127.27,391.73236147
COINBASE:SOLUSD,127.26,127.34,127.08,127.15,841.99686227
COINBASE:SOLUSD,127.14,127.17,126.96,127.02,337.46283317
COINBASE:SOLUSD,127.03,127.14,126.99,127.08,461.44572154
COINBASE:SOLUSD,127.08,127.3,127.04,127.3,331.88676879
COINBASE:SOLUSD,127.31,127.49,127.29,127.31,419.86126913
COINBASE:SOLUSD,127.28,127.38,127.15,127.26,830.91405344
COINBASE:SOLUSD,127.28,127.54,127.22,127.45,642.78948985
COINBASE:SOLUSD,127.46,127.57,127.27,127.34,450.2547926
COINBASE:SOLUSD,127.33,127.74,127.27,127.56,706.94164815
COINBASE:SOLUSD,127.55,127.69,127.33,127.34,710.89722061
COINBASE:SOLUSD,127.32,127.32,127.08,127.1,388.01952101
COINBASE:SOLUSD,127.11,127.12,126.86,126.88,784.44509028
COINBASE:SOLUSD,126.88,127.09,126.8,126.86,482.82423623
COINBASE:SOLUSD,126.88,127.17,126.84,127.08,714.4170902
COINBASE:SOLUSD,127.09,127.12,126.96,126.97,1200.77158379
COINBASE:SOLUSD,126.98,127.16,126.95,127.16,585.96132576
COINBASE:SOLUSD,127.16,127.44,127.14,127.37,577.30446041
COINBASE:SOLUSD,127.38,127.45,127.28,127.4,539.78640045
COINBASE:SOLUSD,127.39,127.56,127.38,127.55,570.17902684
COINBASE:SOLUSD,127.55,127.59,127.44,127.51,423.52747592
COINBASE:SOLUSD,127.49,127.56,127.21,127.25,735.77776356
COINBASE:SOLUSD,127.23,127.28,127.09,127.18,354.18666009
COINBASE:SOLUSD,127.18,127.49,127.17,127.19,377.68652562
COINBASE:SOLUSD,127.18,127.49,127.12,127.34,505.62667656
COINBASE:SOLUSD,127.32,127.42,127.18,127.39,341.8892049
COINBASE:SOLUSD,127.39,127.42,127.21,127.31,335.81307331
COINBASE:SOLUSD,127.3,127.39,127.2,127.39,773.1175349
COINBASE:SOLUSD,127.39,127.55,127.34,127.49,559.22203899
COINBASE:SOLUSD,127.49,127.66,127.49,127.55,813.40115669
COINBASE:SOLUSD,127.54,127.64,127.46,127.52,578.40868137
