datetime,symbol,open,high,low,close,volume
2022-01-01 08:00:00,COINBASE:SOLUSD,169.98,174.25,169.93,172.89,137728.6654
2022-01-01 12:00:00,COINBASE:SOLUSD,172.89,174.33,171.18,173.12,108470.0434
2022-01-01 16:00:00,COINBASE:SOLUSD,173.1,173.38,170.86,171.56,35329.2034
2022-01-01 20:00:00,COINBASE:SOLUSD,171.59,174.17,171.44,173.88,44756.5934
2022-01-02 00:00:00,COINBASE:SOLUSD,173.88,177.46,173.59,177.38,141216.7434
2022-01-02 04:00:00,COINBASE:SOLUSD,177.38,179.25,176.22,179.21,201300.6834
2022-01-02 08:00:00,COINBASE:SOLUSD,179.19,179.56,177.09,177.75,148605.4354
2022-01-02 12:00:00,COINBASE:SOLUSD,177.7,178.1,175.0,175.86,61731.9724
2022-01-02 16:00:00,COINBASE:SOLUSD,175.86,176.31,174.56,175.67,36300.2224
2022-01-02 20:00:00,COINBASE:SOLUSD,175.67,176.84,175.06,176.3,47459.7054
2022-01-03 00:00:00,COINBASE:SOLUSD,176.3,178.74,174.41,175.35,92828.8864
2022-01-03 04:00:00,COINBASE:SOLUSD,175.35,177.16,174.73,176.32,67828.3284
2022-01-03 08:00:00,COINBASE:SOLUSD,176.33,176.46,172.15,172.81,118064.2794
2022-01-03 12:00:00,COINBASE:SOLUSD,172.8,173.88,172.01,173.12,57574.9664
2022-01-03 16:00:00,COINBASE:SOLUSD,173.1,175.01,172.37,174.75,33208.4994
2022-01-03 20:00:00,COINBASE:SOLUSD,174.76,175.95,170.8,170.93,108776.7344
2022-01-04 00:00:00,COINBASE:SOLUSD,170.92,171.78,169.0,169.95,144226.2464
2022-01-04 04:00:00,COINBASE:SOLUSD,169.93,171.09,166.73,170.13,154329.5594
2022-01-04 08:00:00,COINBASE:SOLUSD,170.19,170.35,166.97,167.81,119137.8834
2022-01-04 12:00:00,COINBASE:SOLUSD,167.84,169.23,166.5,169.01,84957.9654
2022-01-04 16:00:00,COINBASE:SOLUSD,169.03,172.27,167.29,171.59,70577.0344
2022-01-04 20:00:00,COINBASE:SOLUSD,171.62,173.88,170.51,172.17,120383.8124
2022-01-05 00:00:00,COINBASE:SOLUSD,172.15,172.54,167.0,168.59,141916.0204
2022-01-05 04:00:00,COINBASE:SOLUSD,168.59,169.45,167.46,167.72,72345.3654
2022-01-05 08:00:00,COINBASE:SOLUSD,167.72,169.32,167.12,169.16,83903.7854
2022-01-05 12:00:00,COINBASE:SOLUSD,169.15,170.46,168.09,169.9,55743.3344
2022-01-05 16:00:00,COINBASE:SOLUSD,169.93,171.34,168.01,168.51,53452.4594
2022-01-05 20:00:00,COINBASE:SOLUSD,168.51,169.27,167.48,168.19,111255.5574
2022-01-06 00:00:00,COINBASE:SOLUSD,168.18,168.64,157.53,158.68,404001.9084
2022-01-06 04:00:00,COINBASE:SOLUSD,158.68,159.73,145.0,154.44,720169.9604
2022-01-06 08:00:00,COINBASE:SOLUSD,154.47,154.82,148.0,148.07,223985.8024
2022-01-06 12:00:00,COINBASE:SOLUSD,148.09,150.99,147.07,150.67,230374.1764
2022-01-06 16:00:00,COINBASE:SOLUSD,150.71,150.93,145.76,147.51,167414.6904
2022-01-06 20:00:00,COINBASE:SOLUSD,147.47,151.12,146.22,149.68,309560.1584
2022-01-07 00:00:00,COINBASE:SOLUSD,149.68,154.57,148.81,153.95,244215.7544
2022-01-07 04:00:00,COINBASE:SOLUSD,153.92,154.6,150.05,150.23,160360.8714
2022-01-07 08:00:00,COINBASE:SOLUSD,150.26,150.73,138.01,139.64,475029.4794
2022-01-07 12:00:00,COINBASE:SOLUSD,139.64,141.31,134.68,138.82,473458.1074
2022-01-07 16:00:00,COINBASE:SOLUSD,138.91,143.0,138.2,139.2,196848.5184
2022-01-07 20:00:00,COINBASE:SOLUSD,139.22,142.89,133.31,135.83,333721.9694
2022-01-08 00:00:00,COINBASE:SOLUSD,135.82,143.67,134.4,140.44,314274.2594
2022-01-08 04:00:00,COINBASE:SOLUSD,140.42,141.19,135.89,136.37,192395.2074
2022-01-08 08:00:00,COINBASE:SOLUSD,136.38,141.52,135.77,139.38,166886.7054
2022-01-08 12:00:00,COINBASE:SOLUSD,139.38,144.69,139.33,144.37,155375.5334
2022-01-08 16:00:00,COINBASE:SOLUSD,144.4,148.14,144.32,146.44,159773.8004
2022-01-08 20:00:00,COINBASE:SOLUSD,146.46,146.83,142.35,144.29,184316.2644
2022-01-09 00:00:00,COINBASE:SOLUSD,144.29,146.23,133.0,135.45,461604.1334
2022-01-09 04:00:00,COINBASE:SOLUSD,135.46,146.99,134.68,142.17,355012.4544
2022-01-09 08:00:00,COINBASE:SOLUSD,142.11,145.61,140.75,141.92,176521.8464
2022-01-09 12:00:00,COINBASE:SOLUSD,141.93,143.75,140.09,140.44,59455.4934
