datetime,symbol,open,high,low,close,volume
2024-07-01 21:30:00,NASDAQ:AMZN,193.49,194.44,192.83,193.72,377707.0
2024-07-01 21:45:00,NASDAQ:AMZN,193.78,195.03,193.7,194.52,336628.0
2024-07-01 22:00:00,NASDAQ:AMZN,194.53,195.68,193.97,194.22,361791.0
2024-07-01 22:15:00,NASDAQ:AMZN,194.23,195.97,194.05,195.2,311013.0
2024-07-01 22:30:00,NASDAQ:AMZN,195.22,195.67,194.7,195.0,195924.0
2024-07-01 22:45:00,NASDAQ:AMZN,194.99,195.85,194.83,195.8,157463.0
2024-07-01 23:00:00,NASDAQ:AMZN,195.795,196.18,195.38,196.1,243281.0
2024-07-01 23:15:00,NASDAQ:AMZN,196.1,196.11,195.48,195.8,128652.0
2024-07-01 23:30:00,NASDAQ:AMZN,195.79,196.1,195.53,195.71,149118.0
2024-07-01 23:45:00,NASDAQ:AMZN,195.72,196.45,195.63,196.42,172275.0
2024-07-02 00:00:00,NASDAQ:AMZN,196.41,196.96,195.99,196.94,205387.0
2024-07-02 00:15:00,NASDAQ:AMZN,196.94,196.94,196.53,196.91,136041.0
2024-07-02 00:30:00,NASDAQ:AMZN,196.92,197.02,196.57,196.995,173824.0
2024-07-02 00:45:00,NASDAQ:AMZN,196.99,197.38,196.69,197.33,154103.0
2024-07-02 01:00:00,NASDAQ:AMZN,197.33,197.77,197.09,197.64,172285.0
2024-07-02 01:15:00,NASDAQ:AMZN,197.64,197.68,196.95,197.08,114061.0
2024-07-02 01:30:00,NASDAQ:AMZN,197.08,197.72,197.08,197.46,84945.0
2024-07-02 01:45:00,NASDAQ:AMZN,197.45,197.6,197.08,197.5,110833.0
2024-07-02 02:00:00,NASDAQ:AMZN,197.51,198.01,197.21,197.94,134735.0
2024-07-02 02:15:00,NASDAQ:AMZN,197.945,198.295,197.67,197.74,132070.0
2024-07-02 02:30:00,NASDAQ:AMZN,197.74,197.89,197.29,197.795,97062.0
2024-07-02 02:45:00,NASDAQ:AMZN,197.79,197.8,197.08,197.28,98265.0
2024-07-02 03:00:00,NASDAQ:AMZN,197.28,197.51,196.98,197.385,141186.0
2024-07-02 03:15:00,NASDAQ:AMZN,197.385,197.45,196.42,196.8,163510.0
2024-07-02 03:30:00,NASDAQ:AMZN,196.78,197.2,196.76,196.79,119794.0
2024-07-02 03:45:00,NASDAQ:AMZN,196.79,197.4,196.72,197.2,297095.0
2024-07-02 21:30:00,NASDAQ:AMZN,197.295,197.33,195.92,197.04,467878.0
2024-07-02 21:45:00,NASDAQ:AMZN,197.07,197.19,196.18,196.58,282679.0
2024-07-02 22:00:00,NASDAQ:AMZN,196.61,197.38,196.05,196.51,228125.0
2024-07-02 22:15:00,NASDAQ:AMZN,196.48,196.7,195.99,196.31,138755.0
2024-07-02 22:30:00,NASDAQ:AMZN,196.31,197.1,196.3,196.64,118381.0
2024-07-02 22:45:00,NASDAQ:AMZN,196.64,197.2,196.57,196.99,101874.0
2024-07-02 23:00:00,NASDAQ:AMZN,197.0,198.2,196.99,197.72,224022.0
2024-07-02 23:15:00,NASDAQ:AMZN,197.7,197.75,197.0,197.7,140087.0
2024-07-02 23:30:00,NASDAQ:AMZN,197.72,197.9,197.36,197.58,81646.0
2024-07-02 23:45:00,NASDAQ:AMZN,197.6,197.86,197.51,197.75,110831.0
2024-07-03 00:00:00,NASDAQ:AMZN,197.71,197.76,197.0,197.44,140013.0
2024-07-03 00:15:00,NASDAQ:AMZN,197.42,197.81,197.4,197.81,101468.0
2024-07-03 00:30:00,NASDAQ:AMZN,197.81,198.25,197.63,198.17,86855.0
2024-07-03 00:45:00,NASDAQ:AMZN,198.16,198.57,198.03,198.55,146388.0
2024-07-03 01:00:00,NASDAQ:AMZN,198.54,199.65,198.49,199.65,350344.0
2024-07-03 01:15:00,NASDAQ:AMZN,199.65,200.17,199.43,199.43,605763.0
2024-07-03 01:30:00,NASDAQ:AMZN,199.43,200.1,199.34,199.99,280330.0
2024-07-03 01:45:00,NASDAQ:AMZN,199.98,200.42,199.61,200.2,250415.0
2024-07-03 02:00:00,NASDAQ:AMZN,200.2,200.4,199.8,200.03,225947.0
2024-07-03 02:15:00,NASDAQ:AMZN,200.03,200.23,199.85,200.13,150395.0
2024-07-03 02:30:00,NASDAQ:AMZN,200.14,200.14,199.72,199.87,144064.0
2024-07-03 02:45:00,NASDAQ:AMZN,199.87,200.14,199.84,200.0,184734.0
2024-07-03 03:00:00,NASDAQ:AMZN,200.0,200.07,199.86,199.995,134908.0
2024-07-03 03:15:00,NASDAQ:AMZN,199.995,200.01,199.88,199.98,88632.0
2024-07-03 03:30:00,NASDAQ:AMZN,199.98,200.0,199.79,199.91,108898.0
2024-07-03 03:45:00,NASDAQ:AMZN,199.905,200.05,199.64,200.02,389048.0
2024-07-03 21:30:00,NASDAQ:AMZN,199.93,200.03,198.81,199.41,458572.0
2024-07-03 21:45:00,NASDAQ:AMZN,199.4,199.9,198.59,198.71,311836.0
2024-07-03 22:00:00,NASDAQ:AMZN,198.74,199.04,197.26,198.28,494828.0
2024-07-03 22:15:00,NASDAQ:AMZN,198.28,198.39,197.34,197.5,363839.0
2024-07-03 22:30:00,NASDAQ:AMZN,197.5,198.04,197.5,197.73,168624.0
2024-07-03 22:45:00,NASDAQ:AMZN,197.73,198.12,197.34,197.365,224858.0
2024-07-03 23:00:00,NASDAQ:AMZN,197.38,197.75,196.76,197.63,240298.0
2024-07-03 23:15:00,NASDAQ:AMZN,197.64,198.0,197.49,197.75,157290.0
2024-07-03 23:30:00,NASDAQ:AMZN,197.77,197.88,197.44,197.81,112443.0
2024-07-03 23:45:00,NASDAQ:AMZN,197.8,197.81,197.49,197.79,146527.0
2024-07-04 00:00:00,NASDAQ:AMZN,197.78,198.07,197.56,198.05,148697.0
2024-07-04 00:15:00,NASDAQ:AMZN,198.04,198.06,197.54,197.73,138731.0
2024-07-04 00:30:00,NASDAQ:AMZN,197.74,197.74,196.94,197.52,276444.0
2024-07-04 00:45:00,NASDAQ:AMZN,197.52,197.63,197.17,197.57,432325.0
2024-07-05 21:30:00,NASDAQ:AMZN,198.65,200.32,198.16,200.22,602573.0
2024-07-05 21:45:00,NASDAQ:AMZN,200.25,200.55,199.63,200.21,390528.0
2024-07-05 22:00:00,NASDAQ:AMZN,200.22,200.28,198.82,199.22,239041.0
2024-07-05 22:15:00,NASDAQ:AMZN,199.22,200.12,199.19,199.93,263023.0
2024-07-05 22:30:00,NASDAQ:AMZN,199.94,200.09,199.41,200.01,155142.0
2024-07-05 22:45:00,NASDAQ:AMZN,200.01,200.2,199.59,199.81,143629.0
2024-07-05 23:00:00,NASDAQ:AMZN,199.84,200.02,199.4,199.68,167526.0
2024-07-05 23:15:00,NASDAQ:AMZN,199.69,199.8,199.26,199.76,113686.0
2024-07-05 23:30:00,NASDAQ:AMZN,199.78,200.1,199.78,200.1,162132.0
2024-07-05 23:45:00,NASDAQ:AMZN,200.11,200.4,199.98,200.31,133152.0
2024-07-06 00:00:00,NASDAQ:AMZN,200.31,200.43,199.85,199.96,140513.0
2024-07-06 00:15:00,NASDAQ:AMZN,199.96,200.17,199.82,200.14,114943.0
2024-07-06 00:30:00,NASDAQ:AMZN,200.16,200.18,199.66,199.66,88346.0
2024-07-06 00:45:00,NASDAQ:AMZN,199.66,199.93,199.58,199.93,56510.0
2024-07-06 01:00:00,NASDAQ:AMZN,199.93,200.05,199.77,200.005,124561.0
2024-07-06 01:15:00,NASDAQ:AMZN,200.01,200.05,199.91,199.945,69230.0
2024-07-06 01:30:00,NASDAQ:AMZN,199.96,200.12,199.87,200.12,119082.0
2024-07-06 01:45:00,NASDAQ:AMZN,200.115,200.115,199.78,199.81,77805.0
2024-07-06 02:00:00,NASDAQ:AMZN,199.82,199.87,199.34,199.81,99045.0
2024-07-06 02:15:00,NASDAQ:AMZN,199.825,200.055,199.785,199.94,106759.0
2024-07-06 02:30:00,NASDAQ:AMZN,199.94,200.01,199.88,199.98,50194.0
2024-07-06 02:45:00,NASDAQ:AMZN,199.985,200.095,199.975,200.0,86275.0
2024-07-06 03:00:00,NASDAQ:AMZN,200.0,200.09,199.94,200.0,119993.0
2024-07-06 03:15:00,NASDAQ:AMZN,200.0,200.16,199.89,199.9,121018.0
2024-07-06 03:30:00,NASDAQ:AMZN,199.91,200.09,199.77,200.06,124358.0
2024-07-06 03:45:00,NASDAQ:AMZN,200.06,200.1,199.9,199.97,365911.0
2024-07-08 21:30:00,NASDAQ:AMZN,199.97,200.15,198.95,199.84,284458.0
