datetime,symbol,open,high,low,close,volume
2022-01-03 22:30:00,NASDAQ:META,338.3,341.04,337.2,340.27,151334.0
2022-01-03 23:30:00,NASDAQ:META,340.31,340.59,338.24,338.56,74216.0
2022-01-04 00:30:00,NASDAQ:META,338.47,339.04,337.7,338.25,39659.0
2022-01-04 01:30:00,NASDAQ:META,338.26,339.9,337.98,339.0,31480.0
2022-01-04 02:30:00,NASDAQ:META,339.02,339.3,338.56,338.97,27044.0
2022-01-04 03:30:00,NASDAQ:META,338.92,340.2,338.72,339.97,52850.0
2022-01-04 04:30:00,NASDAQ:META,340.0,340.08,338.2,338.35,95537.0
2022-01-04 22:30:00,NASDAQ:META,339.67,343.03,337.76,339.88,132739.0
2022-01-04 23:30:00,NASDAQ:META,339.82,340.11,331.98,334.15,124607.0
2022-01-05 00:30:00,NASDAQ:META,334.15,335.73,333.42,334.44,44130.0
2022-01-05 01:30:00,NASDAQ:META,334.17,335.72,334.07,334.93,47033.0
2022-01-05 02:30:00,NASDAQ:META,334.89,335.54,334.11,334.44,24653.0
2022-01-05 03:30:00,NASDAQ:META,334.72,337.88,334.72,337.79,48580.0
2022-01-05 04:30:00,NASDAQ:META,337.8,338.62,336.5,336.5,55899.0
2022-01-05 22:30:00,NASDAQ:META,333.37,335.68,332.09,333.25,96312.0
2022-01-05 23:30:00,NASDAQ:META,333.01,334.42,330.57,333.88,101041.0
2022-01-06 00:30:00,NASDAQ:META,334.24,334.52,331.3,332.26,49952.0
2022-01-06 01:30:00,NASDAQ:META,332.04,332.04,328.55,329.76,70475.0
2022-01-06 02:30:00,NASDAQ:META,329.66,331.86,328.05,328.53,53404.0
2022-01-06 03:30:00,NASDAQ:META,328.77,328.89,324.9,327.57,129800.0
2022-01-06 04:30:00,NASDAQ:META,327.48,328.67,323.84,323.96,180799.0
2022-01-06 22:30:00,NASDAQ:META,322.73,335.15,322.73,334.2,304379.0
2022-01-06 23:30:00,NASDAQ:META,334.11,339.13,334.03,337.98,269875.0
2022-01-07 00:30:00,NASDAQ:META,338.19,338.87,336.85,338.05,92064.0
2022-01-07 01:30:00,NASDAQ:META,338.045,338.66,333.82,333.9,102916.0
2022-01-07 02:30:00,NASDAQ:META,333.93,335.73,332.8,333.64,88751.0
2022-01-07 03:30:00,NASDAQ:META,333.5,334.9,332.76,333.77,72504.0
2022-01-07 04:30:00,NASDAQ:META,333.57,334.11,331.55,332.56,118449.0
2022-01-07 22:30:00,NASDAQ:META,332.87,336.94,330.88,333.18,170835.0
2022-01-07 23:30:00,NASDAQ:META,332.9,333.525,328.94,332.11,99907.0
2022-01-08 00:30:00,NASDAQ:META,332.31,333.92,331.91,332.73,54505.0
2022-01-08 01:30:00,NASDAQ:META,332.76,334.59,332.21,333.48,56605.0
2022-01-08 02:30:00,NASDAQ:META,333.4,334.67,332.14,332.34,53460.0
2022-01-08 03:30:00,NASDAQ:META,332.31,334.13,332.12,332.93,58748.0
2022-01-08 04:30:00,NASDAQ:META,332.9,333.68,331.65,331.67,81278.0
2022-01-10 22:30:00,NASDAQ:META,325.31,326.12,317.15,318.61,244717.0
2022-01-10 23:30:00,NASDAQ:META,318.58,320.58,315.53,319.88,147705.0
2022-01-11 00:30:00,NASDAQ:META,319.82,321.66,318.96,319.48,72145.0
2022-01-11 01:30:00,NASDAQ:META,319.54,323.98,318.8,323.77,75135.0
2022-01-11 02:30:00,NASDAQ:META,323.72,327.415,323.07,327.0,80454.0
2022-01-11 03:30:00,NASDAQ:META,327.26,327.72,325.18,326.77,66355.0
2022-01-11 04:30:00,NASDAQ:META,326.72,328.3,325.92,328.07,91735.0
