datetime,symbol,open,high,low,close,volume
2020-01-02 22:30:00,AMEX:VB,165.79,165.85,164.93,165.02,9236.0
2020-01-03 00:30:00,AMEX:VB,165.02,165.02,164.56,164.67,10316.0
2020-01-03 02:30:00,AMEX:VB,164.65,165.29,164.52,165.29,4309.0
2020-01-03 04:30:00,AMEX:VB,165.31,165.86,165.26,165.86,5800.0
2020-01-03 22:30:00,AMEX:VB,164.515,165.03,164.33,165.02,2945.0
2020-01-04 00:30:00,AMEX:VB,165.06,165.6,165.06,165.36,1350.0
2020-01-04 02:30:00,AMEX:VB,165.41,165.43,165.0,165.37,8923.0
2020-01-04 04:30:00,AMEX:VB,165.37,165.54,165.29,165.33,9258.0
2020-01-06 22:30:00,AMEX:VB,164.2,164.98,164.05,164.98,6576.0
2020-01-07 00:30:00,AMEX:VB,165.06,165.44,165.06,165.44,4027.0
2020-01-07 02:30:00,AMEX:VB,165.42,165.7,165.38,165.55,5106.0
2020-01-07 04:30:00,AMEX:VB,165.56,165.58,165.46,165.54,3758.0
2020-01-07 22:30:00,AMEX:VB,165.45,165.55,164.735,165.45,4850.0
2020-01-08 00:30:00,AMEX:VB,165.4,165.44,165.18,165.36,7250.0
2020-01-08 02:30:00,AMEX:VB,165.345,165.42,165.2,165.41,7147.0
2020-01-08 04:30:00,AMEX:VB,165.385,165.4,165.245,165.27,1800.0
2020-01-08 22:30:00,AMEX:VB,165.25,166.0,165.24,165.38,2350.0
2020-01-09 00:30:00,AMEX:VB,165.43,165.95,165.38,165.89,1115.0
2020-01-09 02:30:00,AMEX:VB,165.96,166.21,165.84,166.19,3207.0
2020-01-09 04:30:00,AMEX:VB,166.13,166.13,165.6,165.65,3004.0
2020-01-09 22:30:00,AMEX:VB,166.35,166.45,165.9,166.22,2687.0
2020-01-10 00:30:00,AMEX:VB,166.36,166.45,166.08,166.12,2832.0
2020-01-10 02:30:00,AMEX:VB,166.05,166.38,166.02,166.16,2480.0
2020-01-10 04:30:00,AMEX:VB,166.11,166.11,165.98,166.09,3080.0
2020-01-10 22:30:00,AMEX:VB,166.115,166.34,165.6,165.91,8417.0
2020-01-11 00:30:00,AMEX:VB,165.74,166.08,165.42,166.08,3700.0
2020-01-11 02:30:00,AMEX:VB,166.07,166.16,165.57,165.64,9096.0
2020-01-11 04:30:00,AMEX:VB,165.54,165.62,165.37,165.6,4755.0
2020-01-13 22:30:00,AMEX:VB,165.86,166.3,165.35,166.3,3817.0
2020-01-14 00:30:00,AMEX:VB,166.35,166.7,166.35,166.58,1293.0
2020-01-14 02:30:00,AMEX:VB,166.56,166.85,166.54,166.8,2759.0
2020-01-14 04:30:00,AMEX:VB,166.77,166.92,166.69,166.92,3210.0
2020-01-14 22:30:00,AMEX:VB,166.69,167.17,166.54,167.17,2455.0
2020-01-15 00:30:00,AMEX:VB,167.24,168.02,167.24,168.02,4205.0
2020-01-15 02:30:00,AMEX:VB,168.13,168.13,166.91,167.31,13585.0
2020-01-15 04:30:00,AMEX:VB,167.33,167.585,167.25,167.51,18005.0
2020-01-15 22:30:00,AMEX:VB,167.2,168.44,167.2,168.37,15112.0
2020-01-16 00:30:00,AMEX:VB,168.39,168.71,167.92,167.92,7409.0
2020-01-16 02:30:00,AMEX:VB,167.975,168.4,167.71,167.71,4649.0
2020-01-16 04:30:00,AMEX:VB,167.42,167.9,167.33,167.9,28002.0
2020-01-16 22:30:00,AMEX:VB,169.25,169.91,169.24,169.24,7741.0
2020-01-17 00:30:00,AMEX:VB,169.32,169.47,169.3,169.47,850.0
2020-01-17 02:30:00,AMEX:VB,169.56,169.66,169.44,169.44,3218.0
2020-01-17 04:30:00,AMEX:VB,169.62,169.85,169.55,169.85,3083.0
2020-01-17 22:30:00,AMEX:VB,169.92,169.92,169.36,169.54,2424.0
2020-01-18 00:30:00,AMEX:VB,169.62,169.8,169.62,169.69,6455.0
2020-01-18 02:30:00,AMEX:VB,169.63,169.63,169.21,169.35,7908.0
2020-01-18 04:30:00,AMEX:VB,169.36,169.49,169.34,169.44,5200.0
2020-01-21 22:30:00,AMEX:VB,168.8,168.91,168.54,168.79,4746.0
2020-01-22 00:30:00,AMEX:VB,168.78,169.09,168.58,168.63,4600.0
2020-01-22 02:30:00,AMEX:VB,168.65,168.84,168.32,168.76,3720.0
2020-01-22 04:30:00,AMEX:VB,168.8,168.84,168.39,168.52,1700.0
2020-01-22 22:30:00,AMEX:VB,169.04,169.44,168.95,168.95,2100.0
2020-01-23 00:30:00,AMEX:VB,168.97,168.97,168.88,168.91,1100.0
2020-01-23 02:30:00,AMEX:VB,168.86,168.86,168.33,168.33,1053.0
2020-01-23 04:30:00,AMEX:VB,168.36,168.39,168.35,168.38,1258.0
2020-01-23 22:30:00,AMEX:VB,168.0,168.01,166.82,167.46,11447.0
2020-01-24 00:30:00,AMEX:VB,167.58,168.26,167.58,168.26,8130.0
2020-01-24 02:30:00,AMEX:VB,168.08,168.76,168.08,168.72,6030.0
2020-01-24 04:30:00,AMEX:VB,168.71,168.78,168.55,168.58,2307.0
2020-01-24 22:30:00,AMEX:VB,168.72,168.72,167.53,167.85,4300.0
2020-01-25 00:30:00,AMEX:VB,167.6,167.6,166.5,166.7,2778.0
2020-01-25 02:30:00,AMEX:VB,166.36,166.62,165.66,166.58,5225.0
2020-01-25 04:30:00,AMEX:VB,166.49,166.61,166.15,166.59,1300.0
2020-01-27 22:30:00,AMEX:VB,164.18,164.66,163.79,164.38,2235.0
2020-01-28 00:30:00,AMEX:VB,164.51,165.16,164.51,165.02,800.0
2020-01-28 02:30:00,AMEX:VB,165.14,165.14,164.8,164.93,5046.0
2020-01-28 04:30:00,AMEX:VB,164.69,164.69,164.42,164.42,1600.0
2020-01-28 22:30:00,AMEX:VB,165.25,166.21,165.17,166.15,1049.0
2020-01-29 00:30:00,AMEX:VB,166.16,166.16,165.79,165.94,4955.0
2020-01-29 02:30:00,AMEX:VB,165.89,166.37,165.855,166.32,3010.0
2020-01-29 04:30:00,AMEX:VB,166.36,166.36,166.04,166.04,3000.0
2020-01-29 22:30:00,AMEX:VB,166.55,166.67,165.75,166.26,2950.0
2020-01-30 00:30:00,AMEX:VB,166.23,166.27,165.97,165.97,700.0
2020-01-30 02:30:00,AMEX:VB,166.12,166.27,165.6,165.6,2900.0
2020-01-30 04:30:00,AMEX:VB,165.89,165.89,165.49,165.49,3700.0
2020-01-30 22:30:00,AMEX:VB,164.52,165.38,163.72,164.1,7523.0
2020-01-31 00:30:00,AMEX:VB,164.23,164.73,163.75,163.83,5400.0
2020-01-31 02:30:00,AMEX:VB,163.96,164.94,163.89,164.94,2048.0
2020-01-31 04:30:00,AMEX:VB,165.07,165.52,164.93,165.49,3434.0
2020-01-31 22:30:00,AMEX:VB,164.91,164.91,162.99,163.01,2300.0
2020-02-01 00:30:00,AMEX:VB,162.39,162.78,162.39,162.54,300.0
2020-02-01 02:30:00,AMEX:VB,162.25,162.65,162.17,162.26,3686.0
2020-02-01 04:30:00,AMEX:VB,161.955,162.39,161.9,162.36,1859.0
2020-02-03 22:30:00,AMEX:VB,163.22,164.55,163.22,163.8,20456.0
2020-02-04 00:30:00,AMEX:VB,163.83,164.07,163.33,163.8,13790.0
2020-02-04 02:30:00,AMEX:VB,163.85,164.22,163.71,164.22,16630.0
2020-02-04 04:30:00,AMEX:VB,164.21,164.21,163.63,163.8,13590.0
2020-02-04 22:30:00,AMEX:VB,165.84,166.32,165.66,166.32,1200.0
2020-02-05 00:30:00,AMEX:VB,166.46,166.74,166.35,166.58,1387.0
2020-02-05 02:30:00,AMEX:VB,166.57,166.87,166.53,166.64,3700.0
2020-02-05 04:30:00,AMEX:VB,166.65,166.67,166.19,166.33,3857.0
2020-02-05 22:30:00,AMEX:VB,167.84,168.21,167.18,167.82,5600.0
2020-02-06 00:30:00,AMEX:VB,167.86,168.22,167.61,168.22,2350.0
2020-02-06 02:30:00,AMEX:VB,168.25,168.31,167.94,168.3,6253.0
2020-02-06 04:30:00,AMEX:VB,168.18,168.32,168.05,168.21,3689.0
2020-02-06 22:30:00,AMEX:VB,168.74,168.74,167.85,168.13,4883.0
2020-02-07 00:30:00,AMEX:VB,167.92,168.25,167.9,167.98,1217.0
2020-02-07 02:30:00,AMEX:VB,167.96,167.96,167.78,167.83,2000.0
2020-02-07 04:30:00,AMEX:VB,167.79,167.99,167.71,167.76,3548.0
2020-02-07 22:30:00,AMEX:VB,166.72,166.89,166.32,166.58,14284.0
2020-02-08 00:30:00,AMEX:VB,166.79,166.81,166.405,166.48,11010.0
2020-02-08 02:30:00,AMEX:VB,166.48,166.565,165.85,166.0,8559.0
2020-02-08 04:30:00,AMEX:VB,166.13,166.2,166.03,166.12,8154.0
2020-02-10 22:30:00,AMEX:VB,165.73,166.46,165.73,166.44,5600.0
2020-02-11 00:30:00,AMEX:VB,166.48,166.61,166.27,166.46,5506.0
2020-02-11 02:30:00,AMEX:VB,166.43,166.85,166.43,166.85,3890.0
2020-02-11 04:30:00,AMEX:VB,166.86,167.0,166.81,167.0,2527.0
2020-02-11 22:30:00,AMEX:VB,167.99,169.0,167.64,168.33,15058.0
2020-02-12 00:30:00,AMEX:VB,168.19,168.65,168.09,168.55,3150.0
2020-02-12 02:30:00,AMEX:VB,168.56,168.65,167.91,168.04,3900.0
2020-02-12 04:30:00,AMEX:VB,168.22,168.27,168.09,168.11,3250.0
2020-02-12 22:30:00,AMEX:VB,169.19,169.2,168.71,168.89,7710.0
2020-02-13 00:30:00,AMEX:VB,168.97,169.1,168.85,169.01,4069.0
2020-02-13 02:30:00,AMEX:VB,169.13,169.4,169.13,169.28,2942.0
2020-02-13 04:30:00,AMEX:VB,169.26,169.44,169.26,169.42,5045.0
2020-02-13 22:30:00,AMEX:VB,168.62,169.48,168.52,169.28,6507.0
2020-02-14 00:30:00,AMEX:VB,169.47,169.61,169.44,169.44,628.0
2020-02-14 02:30:00,AMEX:VB,169.77,170.06,169.77,169.77,7068.0
2020-02-14 04:30:00,AMEX:VB,169.8,169.8,169.62,169.78,1600.0
2020-02-14 22:30:00,AMEX:VB,169.94,170.09,169.57,169.88,4455.0
2020-02-15 00:30:00,AMEX:VB,169.95,169.95,169.21,169.34,2150.0
2020-02-15 02:30:00,AMEX:VB,169.28,169.42,169.2,169.4,2388.0
2020-02-15 04:30:00,AMEX:VB,169.59,169.68,169.59,169.68,1320.0
2020-02-18 22:30:00,AMEX:VB,169.15,169.7,168.79,168.8,15803.0
2020-02-19 00:30:00,AMEX:VB,168.82,169.01,168.43,168.93,6627.0
2020-02-19 02:30:00,AMEX:VB,168.93,169.33,168.88,169.3,4110.0
2020-02-19 04:30:00,AMEX:VB,169.25,169.29,169.14,169.29,1300.0
2020-02-19 22:30:00,AMEX:VB,169.75,170.18,169.75,170.18,6296.0
2020-02-20 00:30:00,AMEX:VB,170.26,170.26,170.1,170.1,750.0
2020-02-20 02:30:00,AMEX:VB,170.25,170.55,170.2,170.32,3378.0
2020-02-20 04:30:00,AMEX:VB,170.32,170.37,169.96,169.99,2279.0
2020-02-20 22:30:00,AMEX:VB,170.7,170.83,170.7,170.83,650.0
2020-02-21 00:30:00,AMEX:VB,168.85,169.32,168.85,169.31,4735.0
2020-02-21 02:30:00,AMEX:VB,170.21,170.39,170.21,170.35,1400.0
2020-02-21 04:30:00,AMEX:VB,170.32,170.49,170.32,170.44,1700.0
2020-02-21 22:30:00,AMEX:VB,168.85,168.85,168.0,168.68,2382.0
2020-02-22 00:30:00,AMEX:VB,168.85,169.01,168.85,168.87,800.0
2020-02-22 02:30:00,AMEX:VB,168.54,168.57,168.22,168.39,2600.0
2020-02-22 04:30:00,AMEX:VB,168.36,168.56,168.36,168.47,1150.0
2020-02-24 22:30:00,AMEX:VB,163.5,164.22,163.5,163.66,2550.0
2020-02-25 00:30:00,AMEX:VB,163.93,163.93,162.62,162.94,3053.0
2020-02-25 02:30:00,AMEX:VB,163.19,164.24,163.19,164.04,2980.0
2020-02-25 04:30:00,AMEX:VB,164.075,164.12,163.49,163.49,1949.0
2020-02-25 22:30:00,AMEX:VB,164.35,164.35,160.67,160.99,2299.0
2020-02-26 00:30:00,AMEX:VB,160.87,160.96,159.31,159.31,3265.0
2020-02-26 02:30:00,AMEX:VB,159.21,159.37,157.68,158.695,2047.0
2020-02-26 04:30:00,AMEX:VB,158.05,158.49,158.01,158.01,901.0
2020-02-26 22:30:00,AMEX:VB,159.47,159.75,158.99,159.57,3420.0
2020-02-27 00:30:00,AMEX:VB,159.44,159.48,157.2,157.24,5234.0
2020-02-27 02:30:00,AMEX:VB,156.99,156.99,155.805,155.97,3300.0
2020-02-27 04:30:00,AMEX:VB,156.03,156.24,155.96,156.14,1641.0
2020-02-27 22:30:00,AMEX:VB,152.35,153.36,150.11,153.36,8443.0
2020-02-28 00:30:00,AMEX:VB,152.72,155.56,152.72,154.72,11831.0
2020-02-28 02:30:00,AMEX:VB,154.72,154.72,152.5,152.74,9800.0
2020-02-28 04:30:00,AMEX:VB,152.3,152.3,150.07,150.07,4725.0
2020-02-28 22:30:00,AMEX:VB,145.2,147.6,144.7,146.07,6009.0
2020-02-29 00:30:00,AMEX:VB,147.0,148.79,146.89,147.94,8651.0
2020-02-29 02:30:00,AMEX:VB,147.24,147.85,145.93,146.0,20548.0
2020-02-29 04:30:00,AMEX:VB,145.7,148.39,145.5,148.39,8419.0
2020-03-02 22:30:00,AMEX:VB,148.6,149.62,146.38,149.15,3550.0
2020-03-03 00:30:00,AMEX:VB,149.91,150.67,149.8,149.88,10239.0
2020-03-03 02:30:00,AMEX:VB,150.2,150.45,148.81,150.45,5225.0
2020-03-03 04:30:00,AMEX:VB,150.4,152.58,150.4,152.58,4750.0
2020-03-03 22:30:00,AMEX:VB,152.79,154.95,151.17,151.8,3799.0
2020-03-04 00:30:00,AMEX:VB,150.58,152.28,149.53,149.53,8499.0
2020-03-04 02:30:00,AMEX:VB,150.23,150.25,147.62,150.25,7890.0
2020-03-04 04:30:00,AMEX:VB,149.56,149.57,149.06,149.25,1496.0
2020-03-04 22:30:00,AMEX:VB,151.97,152.05,150.24,150.46,2300.0
2020-03-05 00:30:00,AMEX:VB,150.73,152.08,150.46,152.08,1286.0
