account_rewards,date
364.91399999998976,2024-04-10
-1385.5059999999357,2024-04-11
332.1589999999851,2024-04-12
-406.96999999997206,2024-04-15
-1179.8819999999832,2024-04-16
281.3429999999935,2024-04-17
344.2870000000112,2024-04-18
-2886.769999999902,2024-04-19
1277.5840000000317,2024-04-22
145.43599999998696,2024-04-23
1771.4160000000848,2024-04-24
1469.25,2024-04-25
1297.1230000000214,2024-04-26
-11380.980999999912,2024-04-29
1655.8279999999795,2024-04-30
2153.7140000000363,2024-05-01
2189.576000000001,2024-05-02
8513.444000000018,2024-05-03
-1146.5074800000293,2024-05-06
-1822.2299999999814,2024-05-07
9535.73999999999,2024-05-08
3780.8099999999395,2024-05-09
-5339.639999999898,2024-05-10
5150.429999999935,2024-05-13
10201.890000000014,2024-05-14
-2868.75,2024-05-15
7443.359999999986,2024-05-16
1953.1200000001118,2024-05-17
-984.5400000000373,2024-05-20
-8624.19000000006,2024-05-21
-14200.650000000023,2024-05-22
4221.989999999991,2024-05-23
186.87000000011176,2024-05-24
-9486.120000000112,2024-05-28
2872.4100000000326,2024-05-29
1686.8399999999674,2024-05-30
-402.89999999990687,2024-05-31
-4681.050000000047,2024-06-03
7746.3300000000745,2024-06-04
1690.3799999998882,2024-06-05
-16268.969999999972,2024-06-06
5570.699999999953,2024-06-07
-258.1799999999348,2024-06-10
4293.179999999935,2024-06-11
-4394.760000000009,2024-06-12
1715.4000000001397,2024-06-13
750.3599999998696,2024-06-14
3255.3000000000466,2024-06-17
4785.150000000023,2024-06-18
-6531.390000000014,2024-06-20
3812.969999999972,2024-06-21
-3950.1299999998882,2024-06-24
-6517.20000000007,2024-06-25
4355.430000000051,2024-06-26
-207.12000000011176,2024-06-27
-3094.0200000000186,2024-06-28
2042.7000000000698,2024-07-01
4836.539999999921,2024-07-02
5550.270000000019,2024-07-03
-4023.2099999999627,2024-07-05
-448.19999999995343,2024-07-08
5097.149999999907,2024-07-09
