date,agg,bil,btcusd,gld,spy,vb,vnq,vo,vwo
2023-04-28,0,-14,34,0,100,-100,100,0,100
2023-05-01,0,0,0,0,83,-100,100,0,-100
2023-05-02,0,1,0,0,35,-100,100,0,-100
2023-05-03,0,3,0,0,9,-44,100,0,-100
2023-05-04,0,0,0,0,0,0,49,0,-100
2023-05-05,0,0,0,0,0,0,49,0,-100
2023-05-08,0,0,0,0,0,0,49,0,-100
2023-05-09,0,0,0,0,0,0,49,0,-100
2023-05-10,0,0,0,0,0,0,48,0,-100
2023-05-11,0,0,0,0,0,0,49,0,-100
2023-05-12,0,0,0,0,0,0,48,0,-100
2023-05-15,0,0,0,0,0,0,49,0,-100
2023-05-16,0,0,0,0,0,0,50,0,-100
2023-05-17,0,0,0,0,0,0,50,0,-100
2023-05-18,0,0,0,0,0,0,29,0,-59
2023-05-19,0,0,0,0,0,0,0,0,0
2023-05-22,0,0,0,0,0,0,0,0,0
2023-05-23,0,0,0,0,0,0,0,0,0
2023-05-24,0,0,0,0,0,0,0,0,0
2023-05-25,0,0,0,0,0,0,0,0,0
2023-05-26,0,0,0,0,0,0,0,0,0
2023-05-30,0,0,0,0,0,0,0,0,0
2023-05-31,0,0,0,0,0,0,0,0,0
2023-06-01,0,0,0,0,0,0,0,0,0
2023-06-02,0,0,0,0,0,0,0,0,0
2023-06-05,0,0,0,0,0,0,0,0,0
2023-06-06,0,0,0,0,0,0,0,0,0
2023-06-07,0,0,0,0,0,0,0,0,0
2023-06-08,0,0,0,0,0,0,0,0,0
2023-06-09,0,0,0,0,0,0,0,0,0
2023-06-12,0,0,0,0,0,0,0,0,0
2023-06-13,0,0,0,0,0,0,0,0,0
2023-06-14,0,0,0,0,0,0,0,0,0
2023-06-15,0,0,0,0,0,0,0,0,0
2023-06-16,0,0,0,0,0,0,0,0,0
2023-06-20,0,0,0,0,0,0,0,0,0
2023-06-21,0,0,0,0,0,0,0,0,0
2023-06-22,0,0,0,0,0,0,0,0,0
2023-06-23,0,0,0,0,0,0,0,0,0
2023-06-26,0,0,0,0,0,0,0,0,0
2023-06-27,0,0,0,0,0,0,0,0,0
2023-06-28,0,0,0,0,0,0,0,0,0
2023-06-29,0,0,0,0,0,0,0,0,0
2023-06-30,0,0,0,0,0,0,0,0,0
2023-07-03,0,0,0,0,0,0,0,0,0
2023-07-05,0,0,0,0,0,0,0,0,0
2023-07-06,0,0,0,0,0,0,0,0,0
2023-07-07,0,0,0,0,0,0,0,0,0
2023-07-10,0,0,0,0,0,0,0,0,0
2023-07-11,0,0,0,0,0,0,0,0,0
2023-07-12,0,0,0,0,0,0,0,0,0
2023-07-13,0,0,0,0,0,0,0,0,0
2023-07-14,0,0,0,0,0,0,0,0,0
2023-07-17,0,0,0,0,0,0,0,0,0
2023-07-18,0,0,0,0,0,0,0,0,0
2023-07-19,0,0,0,0,0,0,0,0,0
2023-07-20,0,0,0,0,0,0,0,0,0
2023-07-21,0,0,0,0,0,0,0,0,0
2023-07-24,0,0,0,0,0,0,0,0,0
2023-07-25,0,0,0,0,0,0,0,0,0
2023-07-26,0,0,0,0,0,0,0,0,0
2023-07-27,0,0,0,0,0,0,0,0,0
