,date,tic,close,high,low,open,volume,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,vix,turbulence
0,2020-01-02,agg,112.68,112.8,112.56,112.68,6791537.0,3.0,-0.03506068292023201,112.8945323251802,112.1764676748198,50.8846870214328,14.021890458384547,2.893605312341447,112.651,112.62316666666668,12.470000267028809,23.060256968875436
0,2020-01-02,bil,91.46,91.46,91.44,91.45,3167468.0,3.0,-0.018328359887078705,91.53146411417356,91.39253588582645,46.95301927885468,-46.259842519702055,11.068217521076907,91.47999999999999,91.5005,12.470000267028809,23.060256968875436
0,2020-01-02,gld,143.95,144.21,143.4,143.86,7736828.0,3.0,1.122243520128535,143.76568055702137,136.12131944297863,61.82057642632702,225.9105218751975,55.44674509656088,139.28833333333333,139.69866666666667,12.470000267028809,23.060256968875436
0,2020-01-02,spy,324.87,324.89,322.53,323.54,59253833.0,3.0,3.3248487844676333,326.4537644527494,310.64423554725056,68.29340890812504,128.29970967390466,39.48881840408542,316.44466666666665,309.54233333333326,12.470000267028809,23.060256968875436
0,2020-01-02,vb,165.93,166.5696,164.51,166.5,779055.0,3.0,1.3640872346126116,167.82365081607028,161.24734918392974,60.85385209555437,83.11546496340345,22.8704003818941,163.57066666666665,160.09316666666666,12.470000267028809,23.060256968875436
0,2020-01-02,vnq,91.7,93.2399,91.1,93.19,5106680.0,3.0,-0.09487382738082317,93.51906653976337,89.77193346023662,48.80092089639321,5.319660185717163,6.97515355886961,91.93933333333334,92.57366666666667,12.470000267028809,23.060256968875436
0,2020-01-02,vo,178.82,179.3,177.63,179.14,1741484.0,3.0,1.445910339374251,180.1324256546768,172.85157434532317,62.599976763850044,115.73127318573644,31.15315464963013,175.632,172.47766666666666,12.470000267028809,23.060256968875436
0,2020-01-02,vwo,45.53,45.53,45.02,45.07,13428355.0,3.0,0.6339117395621514,45.75558455564052,41.98641544435949,67.43639991875824,136.01562100460384,47.09728125969278,43.342999999999996,42.60433333333333,12.470000267028809,23.060256968875436
1,2020-01-03,agg,113.01,113.05,112.7814,112.89,3664283.0,4.0,0.0066161433725397956,112.94552499921626,112.14547500078372,53.6653107162039,98.8219606805961,7.9428916914216705,112.66133333333333,112.61416666666666,14.020000457763672,9.923610534450471
1,2020-01-03,bil,91.46,91.46,91.45,91.46,853176.0,4.0,-0.01604759423865687,91.53174403831471,91.3932559616853,46.95301927885469,-37.63010408327388,11.068217521076905,91.47833333333332,91.5,14.020000457763672,9.923610534450471
1,2020-01-03,gld,145.86,146.32,145.4,145.75,12285501.0,4.0,1.393917965540453,144.9003817201347,135.6806182798653,65.50288254572502,255.2391346710494,65.29747707587148,139.52733333333333,139.76433333333335,14.020000457763672,9.923610534450471
1,2020-01-03,spy,322.41,323.64,321.1,321.16,77783566.0,4.0,3.1913180347783054,326.4301062071005,311.7628937928995,63.98347385722635,92.58615111596771,28.501929081480938,316.794,310.10699999999997,14.020000457763672,9.923610534450471
1,2020-01-03,vb,165.33,165.6532,164.1,164.13,982786.0,4.0,1.2604259039173087,167.74993572594104,161.67506427405897,59.2070591216342,53.91801801636027,17.511431505228884,163.71433333333331,160.3646666666667,14.020000457763672,9.923610534450471
1,2020-01-03,vnq,92.27,92.46,91.03,91.24,5016050.0,4.0,-0.04609628365655283,93.46786466637367,89.78713533362632,50.66383773632834,0.974350688829769,7.907872267476367,91.90666666666668,92.56583333333333,14.020000457763672,9.923610534450471
1,2020-01-03,vo,178.02,178.26,177.01,177.06,390279.0,4.0,1.3759133673794395,180.097512193174,173.359487806826,60.34253280532429,78.17388878433769,23.106954020293298,175.77433333333332,172.74249999999998,14.020000457763672,9.923610534450471
1,2020-01-03,vwo,44.72,45.03,44.715,44.83,12503176.0,4.0,0.612411998611293,45.75435236536787,42.23264763463212,60.877834556122885,92.86710597675763,36.02361501077613,43.419666666666664,42.686166666666665,14.020000457763672,9.923610534450471
2,2020-01-06,agg,112.92,113.13,112.84,113.13,8131608.0,0.0,0.03201404268028796,112.98776919358158,112.12723080641842,52.821609337757536,102.86560832677084,11.144004232485711,112.65966666666667,112.60466666666666,13.850000381469727,7.599063315517088
2,2020-01-06,bil,91.45,91.47,91.45,91.46,2471905.0,0.0,-0.014875511816228482,91.53086554582349,91.39213445417651,45.955424394776315,-34.76482617585337,5.169689914025908,91.47600000000001,91.49933333333334,13.850000381469727,7.599063315517088
2,2020-01-06,gld,147.39,148.48,146.95,148.44,14409912.0,0.0,1.7129344915407785,146.25712253524316,135.1628774647568,68.05594744377834,257.4455750565871,72.05801573832366,139.815,139.85333333333335,13.850000381469727,7.599063315517088
2,2020-01-06,spy,323.64,323.73,320.36,320.49,55761948.0,0.0,3.1484512874743587,326.47190598083483,312.88309401916507,65.12198416228324,89.38376027328185,23.13677134773541,317.223,310.6465,13.850000381469727,7.599063315517088
2,2020-01-06,vb,165.55,165.71,163.781,164.2,846056.0,0.0,1.1823957912196192,167.63694193313376,162.1580580668662,59.62153137489085,49.1645169235564,13.397948737792717,163.882,160.62316666666666,13.850000381469727,7.599063315517088
2,2020-01-06,vnq,92.38,92.71,91.8699,92.17,4888980.0,0.0,0.0014199831776267047,93.42136559390565,89.80363440609435,51.01962834583788,42.83616811968751,3.929581081965717,91.87933333333332,92.55683333333333,13.850000381469727,7.599063315517088
2,2020-01-06,vo,178.27,178.27,176.99,176.99,409170.0,0.0,1.325335530433307,180.06629851000787,173.8507014899921,60.799523576235785,75.43970141614568,22.84707039147051,175.93533333333335,172.98683333333335,13.850000381469727,7.599063315517088
2,2020-01-06,vwo,44.64,44.65,44.39,44.4,10316614.0,0.0,0.5822066517282991,45.73318806965578,42.46881193034423,60.27886088156666,71.07456609774118,25.280790376477114,43.499,42.76166666666666,13.850000381469727,7.599063315517088
3,2020-01-07,agg,112.8,112.92,112.78,112.92,2883005.0,1.0,0.04197519977118702,113.01465970745741,112.12834029254256,51.700490203476555,59.614309406729504,8.129521134877539,112.65933333333332,112.59966666666666,13.789999961853027,8.522627563842331
3,2020-01-07,bil,91.45,91.46,91.45,91.46,1267391.0,1.0,-0.013787692119848316,91.529926219831,91.391073780169,45.95542439477632,-37.65250315523137,5.169689914025918,91.47366666666667,91.49833333333335,13.789999961853027,8.522627563842331
3,2020-01-07,gld,147.97,148.14,147.43,147.57,8401088.0,1.0,1.9896233994722081,147.4507767642267,135.00422323577334,68.95690409019481,217.90632748232832,72.05801573832365,140.14733333333334,139.97266666666664,13.789999961853027,8.522627563842331
